starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
Mon Dec 19 17:29:49 2016	1482175789	0	1	1	1
