starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
Tue Jun 20 11:41:49 2017	1497969709	0	1	1	1
Tue Jun 20 11:41:48 2017	1497969708	0	1	1	1
