starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:47 2017	1497988127	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:47 2017	1497988127	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:41 2017	1497988121	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:40 2017	1497988120	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:47 2017	1497988127	0	35	35	35
Tue Jun 20 16:48:59 2017	1497988139	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:43 2017	1497988123	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:40 2017	1497988120	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:41 2017	1497988121	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:43 2017	1497988123	0	35	35	35
Tue Jun 20 16:48:40 2017	1497988120	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:59 2017	1497988139	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:40 2017	1497988120	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:58 2017	1497988138	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:43 2017	1497988123	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:55 2017	1497988135	0	35	35	35
Tue Jun 20 16:48:41 2017	1497988121	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:43 2017	1497988123	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
Tue Jun 20 16:48:47 2017	1497988127	0	35	35	35
Tue Jun 20 16:48:41 2017	1497988121	0	35	35	35
Tue Jun 20 16:48:56 2017	1497988136	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:49 2017	1497988129	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:48 2017	1497988128	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:49:01 2017	1497988141	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:45 2017	1497988125	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:57 2017	1497988137	0	35	35	35
Tue Jun 20 16:48:42 2017	1497988122	0	35	35	35
Tue Jun 20 16:48:40 2017	1497988120	0	35	35	35
Tue Jun 20 16:48:46 2017	1497988126	0	35	35	35
Tue Jun 20 16:48:53 2017	1497988133	0	35	35	35
